iter	Accuracy	MultiClass
0	0.4637898687	1.090375197
1	0.469043152	1.083287881
2	0.4694183865	1.077030412
3	0.4722326454	1.071844433
4	0.4756097561	1.067562816
5	0.4716697936	1.063835035
6	0.4707317073	1.060642503
7	0.4696060038	1.057345362
8	0.4774859287	1.053767953
9	0.4780487805	1.050688862
10	0.4772983114	1.048140923
11	0.4778611632	1.045058479
12	0.4787992495	1.042658482
13	0.4793621013	1.040630895
14	0.4801125704	1.038805392
15	0.4791744841	1.036425153
16	0.4797373358	1.035202471
17	0.4804878049	1.034248845
18	0.4808630394	1.033330667
19	0.4836772983	1.032026491
20	0.4859287054	1.030745789
21	0.4864915572	1.029490022
22	0.4849906191	1.027855932
23	0.4851782364	1.026446815
24	0.48630394	1.025588345
25	0.4879924953	1.024645997
26	0.4872420263	1.023474846
27	0.4896810507	1.021566228
28	0.4909943715	1.020392124
29	0.4915572233	1.018817269
30	0.4928705441	1.017107223
31	0.4945590994	1.016044709
32	0.4960600375	1.014885414
33	0.4958724203	1.013502865
34	0.4962476548	1.012452037
35	0.4971857411	1.01139057
36	0.4975609756	1.010748653
37	0.4988742964	1.009775156
38	0.5022514071	1.008778252
39	0.5018761726	1.007923783
40	0.5054409006	1.006501424
41	0.505065666	1.005857388
42	0.5065666041	1.004705139
43	0.5061913696	1.003709336
44	0.5065666041	1.00301681
45	0.5090056285	1.002149654
46	0.5073170732	1.000568657
47	0.5073170732	0.9997622175
48	0.5088180113	0.9984862032
49	0.5112570356	0.9973462314
50	0.5116322702	0.9963732143
51	0.5118198874	0.9954106949
52	0.5133208255	0.9944211612
53	0.51369606	0.9940288499
54	0.5151969981	0.9936032977
55	0.5161350844	0.9925511648
56	0.5157598499	0.9920366259
57	0.5150093809	0.9909573175
58	0.5174484053	0.990055485
59	0.5200750469	0.9888052467
60	0.521575985	0.9879772667
61	0.521575985	0.987254883
62	0.5212007505	0.9867014931
63	0.5212007505	0.9857064998
64	0.522326454	0.9845415955
65	0.5243902439	0.9835544251
66	0.5249530957	0.9829056912
67	0.5243902439	0.982539058
68	0.5251407129	0.9813451762
69	0.5255159475	0.9809337312
70	0.5273921201	0.9799889153
71	0.5273921201	0.9786625709
72	0.5283302064	0.9777186917
