iter	Passed	Remaining
0	0	153
1	1	149
2	2	146
3	2	144
4	3	145
5	4	146
6	5	146
7	6	145
8	6	144
9	7	143
10	8	142
11	9	142
12	9	141
13	10	140
14	11	139
15	12	138
16	12	138
17	13	137
18	14	136
19	15	135
20	15	134
21	16	133
22	17	132
23	18	132
24	18	131
25	19	130
26	20	129
27	21	129
28	21	128
29	22	127
30	23	126
31	23	125
32	24	124
33	25	124
34	26	123
35	26	122
36	27	122
37	28	121
38	29	120
39	30	120
40	30	119
41	31	118
42	32	117
43	32	116
44	33	115
45	34	114
46	34	113
47	35	112
48	36	112
49	37	111
50	37	110
51	38	109
52	39	108
53	39	108
54	40	107
55	41	106
56	42	105
57	42	104
58	43	103
59	43	102
60	44	101
61	45	100
62	46	100
63	46	99
64	47	98
65	48	97
66	48	97
67	49	96
68	50	95
69	50	94
70	51	93
71	52	92
72	53	92
73	54	92
74	54	91
75	55	90
76	56	89
77	56	88
78	57	88
79	58	87
80	58	86
81	59	85
82	60	84
83	60	83
84	61	83
85	62	82
86	62	81
87	63	80
88	64	80
89	65	79
90	65	78
91	66	78
92	67	77
93	67	76
94	68	75
95	69	75
96	70	74
97	70	73
98	71	72
99	72	72
100	73	71
101	73	70
102	74	70
103	75	69
104	76	68
105	76	68
106	77	67
107	78	66
108	79	65
109	79	65
110	80	64
111	81	63
112	81	63
113	82	62
114	83	61
115	84	61
116	84	60
117	85	59
118	86	58
119	87	58
120	87	57
121	88	56
122	89	56
123	90	55
124	91	54
125	91	53
126	92	53
127	93	52
128	93	51
129	94	50
130	95	50
131	96	49
132	96	48
133	97	48
134	98	47
135	98	46
136	99	45
137	100	45
138	101	44
139	101	43
140	102	42
141	103	42
142	103	41
143	104	40
144	105	39
145	105	39
146	106	38
147	107	37
148	108	37
149	108	36
150	109	35
151	110	34
152	110	34
153	111	33
154	111	32
155	112	31
156	113	31
157	114	30
158	114	29
159	115	28
160	116	28
161	117	27
162	117	26
163	118	25
164	119	25
165	119	24
166	120	23
167	120	23
168	121	22
169	122	21
170	122	20
171	123	20
172	123	19
173	124	18
174	125	17
175	125	17
176	126	16
177	127	15
178	127	14
179	128	14
180	128	13
181	129	12
182	130	12
183	130	11
184	131	10
185	132	9
186	132	9
187	133	8
188	133	7
189	134	7
190	135	6
191	135	5
192	136	4
193	136	4
194	137	3
195	138	2
196	138	2
197	139	1
198	140	0
199	140	0
