source,target,edge_lingam,edge_pc,agree
volatility,momentum_1m,0,0,1
volatility,momentum_3m,0,1,0
volatility,momentum_6m,0,0,1
volatility,return_1y,0,0,1
volatility,max_drawdown,0,1,0
volatility,volume_avg,0,1,0
volatility,rsi_14,0,0,1
volatility,macd_signal,0,1,0
volatility,beta_market,0,1,0
volatility,pe_ratio,0,1,0
volatility,ecb_rate,0,1,0
volatility,us_10y_yield,0,0,1
volatility,vix,0,1,0
volatility,eur_usd,0,1,0
volatility,de_inflation,0,0,1
volatility,us_inflation,0,1,0
volatility,investment_decision,1,1,1
momentum_1m,volatility,0,0,1
momentum_1m,momentum_3m,0,0,1
momentum_1m,momentum_6m,0,0,1
momentum_1m,return_1y,0,0,1
momentum_1m,max_drawdown,0,1,0
momentum_1m,volume_avg,0,0,1
momentum_1m,rsi_14,0,1,0
momentum_1m,macd_signal,0,1,0
momentum_1m,beta_market,0,0,1
momentum_1m,pe_ratio,0,0,1
momentum_1m,ecb_rate,0,1,0
momentum_1m,us_10y_yield,0,0,1
momentum_1m,vix,0,0,1
momentum_1m,eur_usd,0,0,1
momentum_1m,de_inflation,0,0,1
momentum_1m,us_inflation,0,1,0
momentum_1m,investment_decision,1,1,1
momentum_3m,volatility,1,1,1
momentum_3m,momentum_1m,1,0,0
momentum_3m,momentum_6m,0,1,0
momentum_3m,return_1y,0,0,1
momentum_3m,max_drawdown,0,0,1
momentum_3m,volume_avg,0,0,1
momentum_3m,rsi_14,0,1,0
momentum_3m,macd_signal,0,1,0
momentum_3m,beta_market,0,0,1
momentum_3m,pe_ratio,0,0,1
momentum_3m,ecb_rate,0,1,0
momentum_3m,us_10y_yield,0,0,1
momentum_3m,vix,0,1,0
momentum_3m,eur_usd,0,1,0
momentum_3m,de_inflation,0,0,1
momentum_3m,us_inflation,0,1,0
momentum_3m,investment_decision,0,1,0
momentum_6m,volatility,0,0,1
momentum_6m,momentum_1m,0,0,1
momentum_6m,momentum_3m,1,1,1
momentum_6m,return_1y,0,1,0
momentum_6m,max_drawdown,0,1,0
momentum_6m,volume_avg,0,0,1
momentum_6m,rsi_14,0,1,0
momentum_6m,macd_signal,0,1,0
momentum_6m,beta_market,0,0,1
momentum_6m,pe_ratio,0,0,1
momentum_6m,ecb_rate,0,1,0
momentum_6m,us_10y_yield,0,0,1
momentum_6m,vix,0,0,1
momentum_6m,eur_usd,0,1,0
momentum_6m,de_inflation,0,1,0
momentum_6m,us_inflation,0,0,1
momentum_6m,investment_decision,0,0,1
return_1y,volatility,0,0,1
return_1y,momentum_1m,0,0,1
return_1y,momentum_3m,0,0,1
return_1y,momentum_6m,1,1,1
return_1y,max_drawdown,0,1,0
return_1y,volume_avg,0,0,1
return_1y,rsi_14,0,0,1
return_1y,macd_signal,0,1,0
return_1y,beta_market,0,1,0
return_1y,pe_ratio,0,1,0
return_1y,ecb_rate,0,1,0
return_1y,us_10y_yield,0,0,1
return_1y,vix,0,0,1
return_1y,eur_usd,0,1,0
return_1y,de_inflation,0,0,1
return_1y,us_inflation,0,0,1
return_1y,investment_decision,0,1,0
max_drawdown,volatility,1,1,1
max_drawdown,momentum_1m,0,1,0
max_drawdown,momentum_3m,1,0,0
max_drawdown,momentum_6m,1,1,1
max_drawdown,return_1y,1,1,1
max_drawdown,volume_avg,0,1,0
max_drawdown,rsi_14,0,0,1
max_drawdown,macd_signal,0,0,1
max_drawdown,beta_market,0,1,0
max_drawdown,pe_ratio,0,0,1
max_drawdown,ecb_rate,0,1,0
max_drawdown,us_10y_yield,0,1,0
max_drawdown,vix,0,1,0
max_drawdown,eur_usd,0,0,1
max_drawdown,de_inflation,0,1,0
max_drawdown,us_inflation,0,1,0
max_drawdown,investment_decision,0,0,1
volume_avg,volatility,1,1,1
volume_avg,momentum_1m,0,0,1
volume_avg,momentum_3m,0,0,1
volume_avg,momentum_6m,0,0,1
volume_avg,return_1y,0,0,1
volume_avg,max_drawdown,1,1,1
volume_avg,rsi_14,0,0,1
volume_avg,macd_signal,0,1,0
volume_avg,beta_market,0,1,0
volume_avg,pe_ratio,0,0,1
volume_avg,ecb_rate,0,1,0
volume_avg,us_10y_yield,0,0,1
volume_avg,vix,0,0,1
volume_avg,eur_usd,0,0,1
volume_avg,de_inflation,0,0,1
volume_avg,us_inflation,0,0,1
volume_avg,investment_decision,0,0,1
rsi_14,volatility,0,0,1
rsi_14,momentum_1m,1,1,1
rsi_14,momentum_3m,1,1,1
rsi_14,momentum_6m,0,1,0
rsi_14,return_1y,0,0,1
rsi_14,max_drawdown,0,0,1
rsi_14,volume_avg,0,0,1
rsi_14,macd_signal,0,1,0
rsi_14,beta_market,0,1,0
rsi_14,pe_ratio,0,0,1
rsi_14,ecb_rate,0,1,0
rsi_14,us_10y_yield,0,1,0
rsi_14,vix,0,1,0
rsi_14,eur_usd,0,1,0
rsi_14,de_inflation,0,0,1
rsi_14,us_inflation,0,0,1
rsi_14,investment_decision,0,0,1
macd_signal,volatility,0,1,0
macd_signal,momentum_1m,1,1,1
macd_signal,momentum_3m,1,1,1
macd_signal,momentum_6m,0,1,0
macd_signal,return_1y,0,1,0
macd_signal,max_drawdown,0,0,1
macd_signal,volume_avg,1,1,1
macd_signal,rsi_14,0,1,0
macd_signal,beta_market,0,0,1
macd_signal,pe_ratio,0,0,1
macd_signal,ecb_rate,0,1,0
macd_signal,us_10y_yield,0,0,1
macd_signal,vix,0,0,1
macd_signal,eur_usd,0,0,1
macd_signal,de_inflation,0,0,1
macd_signal,us_inflation,0,0,1
macd_signal,investment_decision,0,0,1
beta_market,volatility,1,1,1
beta_market,momentum_1m,0,0,1
beta_market,momentum_3m,0,0,1
beta_market,momentum_6m,1,0,0
beta_market,return_1y,1,1,1
beta_market,max_drawdown,1,1,1
beta_market,volume_avg,0,1,0
beta_market,rsi_14,0,1,0
beta_market,macd_signal,0,0,1
beta_market,pe_ratio,0,1,0
beta_market,ecb_rate,0,1,0
beta_market,us_10y_yield,0,0,1
beta_market,vix,0,0,1
beta_market,eur_usd,0,1,0
beta_market,de_inflation,0,0,1
beta_market,us_inflation,0,0,1
beta_market,investment_decision,0,0,1
pe_ratio,volatility,0,1,0
pe_ratio,momentum_1m,0,0,1
pe_ratio,momentum_3m,0,0,1
pe_ratio,momentum_6m,0,0,1
pe_ratio,return_1y,0,1,0
pe_ratio,max_drawdown,0,0,1
pe_ratio,volume_avg,0,0,1
pe_ratio,rsi_14,0,0,1
pe_ratio,macd_signal,0,0,1
pe_ratio,beta_market,0,1,0
pe_ratio,ecb_rate,0,1,0
pe_ratio,us_10y_yield,0,0,1
pe_ratio,vix,0,0,1
pe_ratio,eur_usd,0,0,1
pe_ratio,de_inflation,0,0,1
pe_ratio,us_inflation,0,0,1
pe_ratio,investment_decision,0,0,1
ecb_rate,volatility,0,1,0
ecb_rate,momentum_1m,0,1,0
ecb_rate,momentum_3m,0,1,0
ecb_rate,momentum_6m,0,1,0
ecb_rate,return_1y,0,1,0
ecb_rate,max_drawdown,0,1,0
ecb_rate,volume_avg,0,1,0
ecb_rate,rsi_14,0,1,0
ecb_rate,macd_signal,0,1,0
ecb_rate,beta_market,0,1,0
ecb_rate,pe_ratio,0,1,0
ecb_rate,us_10y_yield,0,1,0
ecb_rate,vix,0,1,0
ecb_rate,eur_usd,0,1,0
ecb_rate,de_inflation,0,1,0
ecb_rate,us_inflation,0,1,0
ecb_rate,investment_decision,0,1,0
us_10y_yield,volatility,0,0,1
us_10y_yield,momentum_1m,0,0,1
us_10y_yield,momentum_3m,0,0,1
us_10y_yield,momentum_6m,0,0,1
us_10y_yield,return_1y,0,0,1
us_10y_yield,max_drawdown,0,1,0
us_10y_yield,volume_avg,0,0,1
us_10y_yield,rsi_14,0,1,0
us_10y_yield,macd_signal,0,0,1
us_10y_yield,beta_market,0,0,1
us_10y_yield,pe_ratio,0,0,1
us_10y_yield,ecb_rate,0,1,0
us_10y_yield,vix,0,1,0
us_10y_yield,eur_usd,0,1,0
us_10y_yield,de_inflation,0,1,0
