feature,Nec,Suf,Nesuf,maxNesuf,actionability,validity_proxy,sparsity_proxy,proximity_proxy,plausibility_proxy
momentum_1m,0.8652021104482536,0.8034645897806598,0.7114475392380162,0.7641204201336855,feasible,0.7641204201336855,1,0.5668547274818233,1.0
vix,0.9014840942859674,0.589582143530246,0.5696765427851344,0.7582375760878504,infeasible,0.7582375760878504,1,0.5687513528319879,1.0
momentum_3m,0.8104285301010642,0.7459670373607232,0.6231204510843695,0.6690420602460337,feasible,0.6690420602460337,1,0.5991460753556983,1.0
macd_signal,0.8209697376962346,0.5454941624382518,0.486061209064719,0.5699339892490476,feasible,0.5699339892490476,1,0.6369694565809954,1.0
beta_market,0.665554904963318,0.4643874144064334,0.3443619233104497,0.5466862837630759,feasible,0.5466862837630759,1,0.6465435237241567,1.0
de_inflation,0.873388528456867,0.4331767289935524,0.4353447988145751,0.5264203656199632,infeasible,0.5264203656199632,1,0.6551275274644578,1.0
momentum_6m,0.6915988374417195,0.6062791291717036,0.4568388920928676,0.5204641241758765,feasible,0.5204641241758765,1,0.6576939133910976,1.0
return_1y,0.725920379951265,0.6374589597226052,0.472835745147963,0.4812306668240144,feasible,0.4812306668240144,1,0.675114296778741,1.0
max_drawdown,0.8342402051931386,0.5156143469625859,0.4581309469158696,0.4595680565170418,feasible,0.4595680565170418,1,0.685134204969033,1.0
rsi_14,0.741475689130358,0.4367291767168391,0.3689032597386097,0.4532378174386899,feasible,0.4532378174386899,1,0.6881186189900322,1.0
volatility,0.7070226825575093,0.46407292730369,0.3761868916555669,0.4169014149171284,feasible,0.4169014149171284,1,0.705765404333715,1.0
us_inflation,0.6514373057649181,0.3440714671254819,0.2899574224682078,0.4122234172396708,infeasible,0.4122234172396708,1,0.7081032560376305,1.0
eur_usd,0.6689368483275173,0.4042727710034043,0.2760173211411458,0.392379880154947,infeasible,0.392379880154947,1,0.7181948075037667,1.0
pe_ratio,0.6124844548784624,0.5366792762365054,0.3617940350935138,0.3839110472843118,feasible,0.3839110472843118,1,0.722589795032223,1.0
us_10y_yield,0.6121277483275428,0.3692895608165503,0.2621125170675612,0.3768018221941612,infeasible,0.3768018221941612,1,0.7263209445832479,1.0
volume_avg,0.6232548612753853,0.345209903936285,0.2884660759413244,0.3428440375944382,feasible,0.3428440375944382,1,0.7446881186525528,1.0
ecb_rate,0.0,0.0,0.0,0.0,infeasible,0.0,1,1.0,1.0
