ticker,market,status,rows,error
ADS.DE,DAX,ok,2866,
AIR.DE,DAX,ok,2866,
ALV.DE,DAX,ok,2866,
BAS.DE,DAX,ok,2866,
BAYN.DE,DAX,ok,2866,
BEI.DE,DAX,ok,2866,
BMW.DE,DAX,ok,2866,
BNR.DE,DAX,ok,2866,
CON.DE,DAX,ok,2866,
1COV.DE,DAX,failed,0,empty dataframe returned
DB1.DE,DAX,ok,2866,
DBK.DE,DAX,ok,2866,
DHL.DE,DAX,ok,2850,
DTE.DE,DAX,ok,2866,
EOAN.DE,DAX,ok,2866,
FRE.DE,DAX,ok,2866,
HEI.DE,DAX,ok,2866,
HEN3.DE,DAX,ok,2866,
IFX.DE,DAX,ok,2866,
LIN.DE,DAX,ok,2866,
MBG.DE,DAX,ok,2866,
MRK.DE,DAX,ok,2866,
MTX.DE,DAX,ok,2866,
MUV2.DE,DAX,ok,2866,
P911.DE,DAX,ok,898,
PAH3.DE,DAX,ok,2866,
QGEN.DE,DAX,failed,0,empty dataframe returned
RWE.DE,DAX,ok,2866,
SAP.DE,DAX,ok,2866,
SHL.DE,DAX,ok,2032,
SIE.DE,DAX,ok,2866,
SRT.DE,DAX,ok,2866,
SY1.DE,DAX,ok,2866,
VNA.DE,DAX,ok,2866,
VOW3.DE,DAX,ok,2866,
ZAL.DE,DAX,ok,2866,
MMM,SP500,ok,2836,
AOS,SP500,ok,2836,
ABT,SP500,ok,2836,
ABBV,SP500,ok,2836,
ACN,SP500,ok,2836,
ADBE,SP500,ok,2836,
AMD,SP500,ok,2836,
AES,SP500,ok,2836,
AFL,SP500,ok,2836,
A,SP500,ok,2836,
APD,SP500,ok,2836,
ABNB,SP500,ok,1340,
AKAM,SP500,ok,2836,
ALB,SP500,ok,2836,
ARE,SP500,ok,2836,
ALGN,SP500,ok,2836,
ALLE,SP500,ok,2836,
LNT,SP500,ok,2836,
ALL,SP500,ok,2836,
GOOGL,SP500,ok,2836,
GOOG,SP500,ok,2836,
MO,SP500,ok,2836,
AMZN,SP500,ok,2836,
AMCR,SP500,ok,2836,
AEE,SP500,ok,2836,
