iterations,learning_rate,depth,l2_leaf_reg,bagging_temperature,mean_cv_accuracy
500,0.01,4,1,0.5,0.4606
500,0.01,4,1,1.0,0.461
500,0.01,4,3,0.5,0.4619
500,0.01,4,3,1.0,0.4615
500,0.01,4,5,0.5,0.4617
500,0.01,4,5,1.0,0.4604
500,0.01,6,1,0.5,0.4568
500,0.01,6,1,1.0,0.4608
500,0.01,6,3,0.5,0.4595
500,0.01,6,3,1.0,0.4649
500,0.01,6,5,0.5,0.4561
500,0.01,6,5,1.0,0.4622
500,0.01,8,1,0.5,0.4617
500,0.01,8,1,1.0,0.4624
500,0.01,8,3,0.5,0.464
500,0.01,8,3,1.0,0.4619
500,0.01,8,5,0.5,0.4653
500,0.01,8,5,1.0,0.4642
500,0.05,4,1,0.5,0.4622
500,0.05,4,1,1.0,0.4642
500,0.05,4,3,0.5,0.4642
500,0.05,4,3,1.0,0.4626
500,0.05,4,5,0.5,0.4637
500,0.05,4,5,1.0,0.4637
500,0.05,6,1,0.5,0.4628
500,0.05,6,1,1.0,0.4599
500,0.05,6,3,0.5,0.4617
500,0.05,6,3,1.0,0.4624
500,0.05,6,5,0.5,0.4613
500,0.05,6,5,1.0,0.4601
500,0.05,8,1,0.5,0.4635
500,0.05,8,1,1.0,0.4624
500,0.05,8,3,0.5,0.4667
500,0.05,8,3,1.0,0.4595
500,0.05,8,5,0.5,0.4635
500,0.05,8,5,1.0,0.4617
500,0.1,4,1,0.5,0.4703
500,0.1,4,1,1.0,0.4703
500,0.1,4,3,0.5,0.4736
500,0.1,4,3,1.0,0.4709
500,0.1,4,5,0.5,0.4764
500,0.1,4,5,1.0,0.4707
500,0.1,6,1,0.5,0.4709
500,0.1,6,1,1.0,0.4577
500,0.1,6,3,0.5,0.4655
500,0.1,6,3,1.0,0.4615
500,0.1,6,5,0.5,0.4655
500,0.1,6,5,1.0,0.47
500,0.1,8,1,0.5,0.4649
500,0.1,8,1,1.0,0.4595
500,0.1,8,3,0.5,0.4727
500,0.1,8,3,1.0,0.4608
500,0.1,8,5,0.5,0.461
500,0.1,8,5,1.0,0.4676
1000,0.01,4,1,0.5,0.4606
1000,0.01,4,1,1.0,0.461
1000,0.01,4,3,0.5,0.4619
1000,0.01,4,3,1.0,0.4615
1000,0.01,4,5,0.5,0.4617
1000,0.01,4,5,1.0,0.4604
1000,0.01,6,1,0.5,0.4568
1000,0.01,6,1,1.0,0.4608
1000,0.01,6,3,0.5,0.4595
1000,0.01,6,3,1.0,0.4649
1000,0.01,6,5,0.5,0.4561
1000,0.01,6,5,1.0,0.4622
1000,0.01,8,1,0.5,0.4617
1000,0.01,8,1,1.0,0.4624
1000,0.01,8,3,0.5,0.464
1000,0.01,8,3,1.0,0.4619
1000,0.01,8,5,0.5,0.4653
1000,0.01,8,5,1.0,0.4642
1000,0.05,4,1,0.5,0.4622
1000,0.05,4,1,1.0,0.4642
1000,0.05,4,3,0.5,0.4642
1000,0.05,4,3,1.0,0.4626
1000,0.05,4,5,0.5,0.4637
1000,0.05,4,5,1.0,0.4637
1000,0.05,6,1,0.5,0.4628
1000,0.05,6,1,1.0,0.4599
1000,0.05,6,3,0.5,0.4617
1000,0.05,6,3,1.0,0.4624
1000,0.05,6,5,0.5,0.4613
1000,0.05,6,5,1.0,0.4601
1000,0.05,8,1,0.5,0.4635
1000,0.05,8,1,1.0,0.4624
1000,0.05,8,3,0.5,0.4667
1000,0.05,8,3,1.0,0.4595
1000,0.05,8,5,0.5,0.4635
1000,0.05,8,5,1.0,0.4617
1000,0.1,4,1,0.5,0.4703
1000,0.1,4,1,1.0,0.4703
1000,0.1,4,3,0.5,0.4736
1000,0.1,4,3,1.0,0.4709
1000,0.1,4,5,0.5,0.4764
1000,0.1,4,5,1.0,0.4707
1000,0.1,6,1,0.5,0.4709
1000,0.1,6,1,1.0,0.4577
1000,0.1,6,3,0.5,0.4655
1000,0.1,6,3,1.0,0.4615
1000,0.1,6,5,0.5,0.4655
1000,0.1,6,5,1.0,0.47
1000,0.1,8,1,0.5,0.4649
1000,0.1,8,1,1.0,0.4595
1000,0.1,8,3,0.5,0.4727
1000,0.1,8,3,1.0,0.4608
1000,0.1,8,5,0.5,0.461
1000,0.1,8,5,1.0,0.4676
