feature,Nec,Suf,Nesuf,maxNesuf
momentum_1m,0.8649678911051466,0.8035327151957916,0.711321106600928,0.7637672820664647
vix,0.8954106780999624,0.5837793927278245,0.5610960520682298,0.7467483620742382
momentum_3m,0.8102258898717484,0.7459929981415063,0.6230021460005826,0.6687669999616902
macd_signal,0.8139294528172334,0.5880574699913059,0.5161150504344353,0.5942010386497554
beta_market,0.7125205325252749,0.48147593620068596,0.37935109451627325,0.5375020386440088
momentum_6m,0.6911793663453589,0.6063905729893053,0.4567105677647292,0.52001028281628
rsi_14,0.7648955814725515,0.4553917283885043,0.40033083210189935,0.48357766154955306
return_1y,0.7232331559414891,0.6377030733092677,0.4710319145907763,0.47787632842737504
max_drawdown,0.8255633750207056,0.5140579339810032,0.451458548205082,0.45818450969855967
de_inflation,0.7935993295446433,0.38608331551447284,0.34604548996616763,0.4353655424373078
volatility,0.7066424788291233,0.4640744448449951,0.375952482155559,0.41685804323724834
us_inflation,0.6514373057649181,0.3440714671254819,0.2899574224682078,0.4122234172396708
us_10y_yield,0.6034694834966646,0.37246423486328045,0.2801980972039105,0.40028561027414805
eur_usd,0.6684155350638883,0.4047502865976241,0.27607155513484516,0.3915631959434411
pe_ratio,0.6125610177542395,0.5367131516578242,0.36189553594022494,0.3840693407864712
volume_avg,0.5930891079856502,0.3822601550066546,0.30132592172202377,0.35767774877657305
ecb_rate,0.0,0.0,0.0,0.0
