feature,Nec,Suf
momentum_1m,0.8652021104482536,0.8034645897806598
vix,0.9014840942859674,0.589582143530246
momentum_3m,0.8104285301010642,0.7459670373607232
macd_signal,0.8209697376962346,0.5454941624382518
beta_market,0.665554904963318,0.46438741440643344
de_inflation,0.873388528456867,0.4331767289935524
momentum_6m,0.6915988374417195,0.6062791291717036
return_1y,0.725920379951265,0.6374589597226052
max_drawdown,0.8342402051931386,0.5156143469625859
rsi_14,0.741475689130358,0.43672917671683914
volatility,0.7070226825575093,0.46407292730369004
us_inflation,0.6514373057649181,0.3440714671254819
eur_usd,0.6689368483275173,0.4042727710034043
pe_ratio,0.6124844548784624,0.5366792762365054
us_10y_yield,0.6121277483275428,0.3692895608165503
volume_avg,0.6232548612753853,0.34520990393628503
ecb_rate,0.0,0.0
