sector,n,accuracy,f1_macro
Utilities,15898,0.49415020757327965,0.3695782116739461
Consumer Defensive,15169,0.41795767684092555,0.3714322022559317
Unknown,983,0.4170905391658189,0.3230632072186557
Communication Services,10218,0.407026815423762,0.3774130338347575
Industrials,37179,0.4023776863283036,0.3718306743269059
Energy,10746,0.3828401265587195,0.35987298670029894
Real Estate,15164,0.38228699551569506,0.3789294032327753
Healthcare,26926,0.38082151080739807,0.36489803886293287
Consumer Cyclical,27975,0.3775871313672922,0.35886391876462714
Financial Services,35533,0.3772268032533138,0.34841824510078084
Technology,38641,0.3699956005279367,0.3592883848480166
Basic Materials,9311,0.3598968961443454,0.35332062800818664
