feature,adf_pvalue,stationary,transformation_applied
volatility,5.3295059669334884e-30,True,none
momentum_1m,0.0,True,none
momentum_3m,0.0,True,none
momentum_6m,0.0,True,none
return_1y,0.0,True,none
max_drawdown,0.0,True,none
volume_avg,0.0,True,none
rsi_14,0.0,True,none
macd_signal,0.0,True,none
beta_market,0.0,True,none
pe_ratio,0.0,True,none
ecb_rate,0.9208219412883427,False,first_difference
us_10y_yield,0.782141329442347,False,first_difference
vix,3.210964384215381e-08,True,none
eur_usd,0.04294252171847039,True,none
de_inflation,0.24757281477528897,False,first_difference
us_inflation,0.23963476509973386,False,first_difference
